    date    | num  | total_requests | error 
------------+------+----------------+-------
 2016-07-31 |  329 |          45845 |  0.72
 2016-07-30 |  397 |          55073 |  0.72
 2016-07-29 |  382 |          54951 |  0.70
 2016-07-28 |  393 |          54797 |  0.72
 2016-07-27 |  367 |          54489 |  0.67
 2016-07-26 |  396 |          54378 |  0.73
 2016-07-25 |  391 |          54613 |  0.72
 2016-07-24 |  431 |          55100 |  0.78
 2016-07-23 |  373 |          54894 |  0.68
 2016-07-22 |  406 |          55206 |  0.74
 2016-07-21 |  418 |          55241 |  0.76
 2016-07-20 |  383 |          54557 |  0.70
 2016-07-19 |  433 |          55341 |  0.78
 2016-07-18 |  374 |          55589 |  0.67
 2016-07-17 | 1265 |          55907 |  2.26
 2016-07-16 |  374 |          54498 |  0.69
 2016-07-15 |  408 |          54962 |  0.74
 2016-07-14 |  383 |          55196 |  0.69
 2016-07-13 |  383 |          55180 |  0.69
 2016-07-12 |  373 |          54839 |  0.68
 2016-07-11 |  403 |          54497 |  0.74
 2016-07-10 |  371 |          54489 |  0.68
 2016-07-09 |  410 |          55236 |  0.74
 2016-07-08 |  418 |          55084 |  0.76
 2016-07-07 |  360 |          54740 |  0.66
 2016-07-06 |  420 |          54774 |  0.77
 2016-07-05 |  423 |          54585 |  0.77
 2016-07-04 |  380 |          54903 |  0.69
 2016-07-03 |  401 |          54866 |  0.73
 2016-07-02 |  389 |          55200 |  0.70
 2016-07-01 |  274 |          38705 |  0.71
(31 rows)

SQL: select dwes.*, rpd.num as total_requests, round((dwes.num * 100.0) / rpd.num, 2) as error from datesWithErrorStatus as dwes join requestsPerDate as rpd on dwes.date = rpd.date;
