    date    |  num  
------------+-------
 2016-07-31 | 45845
 2016-07-30 | 55073
 2016-07-29 | 54951
 2016-07-28 | 54797
 2016-07-27 | 54489
 2016-07-26 | 54378
 2016-07-25 | 54613
 2016-07-24 | 55100
 2016-07-23 | 54894
 2016-07-22 | 55206
 2016-07-21 | 55241
 2016-07-20 | 54557
 2016-07-19 | 55341
 2016-07-18 | 55589
 2016-07-17 | 55907
 2016-07-16 | 54498
 2016-07-15 | 54962
 2016-07-14 | 55196
 2016-07-13 | 55180
 2016-07-12 | 54839
 2016-07-11 | 54497
 2016-07-10 | 54489
 2016-07-09 | 55236
 2016-07-08 | 55084
 2016-07-07 | 54740
 2016-07-06 | 54774
 2016-07-05 | 54585
 2016-07-04 | 54903
 2016-07-03 | 54866
 2016-07-02 | 55200
 2016-07-01 | 38705
(31 rows)

